Sample	Total Fragments	Both Ends Unique Mapped	No PCR Duplicates	No PCR + Properly Paired	No PCR + Properly Paired + MAPQ>30
Pilot_226	114624894	107079953	107079953	53537599	49639610
Pilot2_70	66343754	64086183	64086183	32036755	29562243
Pilot_260	115140004	105788175	105788175	52891825	49632878
Pilot_297	126098965	101845240	101845240	50920038	47512356
Pilot_250	204126680	175126130	175126130	87559364	81768762
Pilot2_4	97138793	84511737	84511737	42254367	39292276
Pilot_224	106930127	103188698	103188698	51591483	48194790
Pilot2_17	32316716	31284030	31284030	15637230	14423873
Pilot_213	78045138	63584427	63584427	31790873	29834353
Pilot2_26	36572347	33575610	33575610	16787253	15495664
Pilot_232	38073865	36878097	36878097	18437844	16978311
Pilot2_82	65155982	54240169	54240169	27119870	25240965
Pilot2_15	72483627	61836116	61836116	30916075	28874961
Pilot2_51	46180211	44537737	44537737	22266385	20571012
Pilot2_56	40193201	39004963	39004963	19497230	17870906
Pilot2_10	53031189	44493684	44493684	22246132	20786539
Pilot2_52	42056853	40060608	40060608	20027109	18546773
Pilot_284	74433247	71538232	71538232	35765387	33194438
Pilot_264	108504479	90339981	90339981	45167807	42390119
Pilot2_62	146933230	123549883	123549883	61773947	57254302
Pilot_278	63698846	61228827	61228827	30612520	28640832
Pilot2_77	1204681	1155374	1155374	577615	532882
Pilot2_35	54744834	50638741	50638741	25316318	23469016
Pilot2_68	11393696	11053314	11053314	5525263	5102249
Pilot_242	138749357	121128008	121128008	60561524	56677597
Pilot2_79	228534804	191975848	191975848	95982832	89114529
Pilot_241	35007674	33929703	33929703	16964307	15938904
Pilot_233	176413991	168785807	168785807	84388381	78551500
Pilot_230	41497093	40358878	40358878	20177902	18840952
Pilot_296	108458425	87281762	87281762	43640198	40862453
Pilot_216	66122468	54374996	54374996	27186042	25370103
Pilot_256	66512376	58820382	58820382	29409396	27451027
Pilot2_90	108399870	91283964	91283964	45641533	42786923
Pilot2_30	56083493	52829208	52829208	26412159	24742748
Pilot_279	60343249	58043221	58043221	29020021	27075678
Pilot_283	70237451	67714074	67714074	33854446	31157894
Pilot2_22	91143929	88165574	88165574	44081264	40413474
Pilot2_14	108110497	92528113	92528113	46263516	43315584
Pilot_274	162549228	151684758	151684758	75836277	70580832
Pilot2_58	43964803	40134517	40134517	20064538	18559542
Pilot_287	65712898	63863370	63863370	31928930	29669715
Pilot_286	121298819	114252457	114252457	57122694	53479334
Pilot2_45	98168720	83160299	83160299	41581530	38487297
Pilot_263	60564494	51602398	51602398	25800073	24186579
Pilot2_72	40811622	39489428	39489428	19741246	18342473
Pilot_200	128005493	104118808	104118808	52056213	48760347
Pilot2_80	90756518	85441034	85441034	42716314	39592852
Pilot_268	94203205	76797333	76797333	38397130	35863983
Pilot2_23	33410013	32495280	32495280	16241286	14878998
Pilot2_63	36450619	35432453	35432453	17711733	16392150
Pilot_271	69953651	67819848	67819848	33907826	31606850
Pilot_265	12270488	11003248	11003248	5501319	5140850
Pilot_234	62137739	51579115	51579115	25788444	24125574
Pilot2_37	43151333	36575457	36575457	18287396	17120491
Pilot2_59	105085222	94315568	94315568	47154298	43977770
Pilot_243	117395278	114486017	114486017	57239047	53622293
Pilot_257	72751305	60344455	60344455	30171293	28150425
Pilot2_49	115459134	106595613	106595613	53291747	49557568
Pilot2_86	43145717	40636601	40636601	20317121	18766331
Pilot2_71	103281683	87772568	87772568	43884553	40964548
Pilot_211	81669087	79197908	79197908	39595965	37190516
Pilot_276	47910394	46556342	46556342	23274742	21555189
Pilot_249	85317081	82828897	82828897	41411942	38722760
Pilot2_46	43399432	35592668	35592668	17794713	16532192
Pilot_210	43024329	35524726	35524726	17761424	16558687
Pilot2_28	87220718	84409906	84409906	42201343	39086374
Pilot_198	79328053	77170068	77170068	38582658	36253008
Pilot_266	55857530	48980712	48980712	24489545	22858950
Pilot_196	48843894	47565847	47565847	23781070	22361073
Pilot2_42	93363012	90790494	90790494	45387936	41973131
Pilot_288	94548077	89815108	89815108	44903977	42138730
Pilot_221	191755182	166965990	166965990	83479025	77699292
Pilot2_12	123719769	103294229	103294229	51646737	48286077
Pilot2_43	51165492	49838946	49838946	24914680	23089287
Pilot_225	35421513	29482393	29482393	14740468	13731375
Pilot2_83	80048945	71276838	71276838	35636663	32900465
Pilot2_50	98242216	90140824	90140824	45067168	41726581
Pilot_220	156744852	150353081	150353081	75171819	70039674
Pilot_205	148494820	143670028	143670028	71830916	67315566
Pilot_246	196573813	184259381	184259381	92124312	86087917
Pilot2_16	57621216	55856321	55856321	27925242	25646014
Pilot_208	189294004	183622281	183622281	91808094	85694015
Pilot_262	50527598	49333144	49333144	24665277	23175448
Pilot_289	26671916	26106222	26106222	13051755	12015433
Pilot_202	32062560	26678937	26678937	13338808	12454488
Pilot2_69	80534902	77819159	77819159	38905273	35872985
Pilot_294	87056520	81388278	81388278	40692466	38144044
Pilot_217	119397495	116045522	116045522	58020169	54273740
Pilot2_38	79707100	75584132	75584132	37788149	35114443
Pilot2_27	54996251	53234432	53234432	26613259	24554271
Pilot2_87	109014290	92676445	92676445	46337883	43152382
Pilot2_7	78693770	65271835	65271835	32635934	30533180
Pilot2_34	172508786	165425746	165425746	82696677	76136008
Pilot_269	98025653	94154434	94154434	47072838	43682765
Pilot_240	120054361	105255991	105255991	52626749	49377184
Pilot_248	57767251	47602692	47602692	23800179	22210629
Pilot_270	64228445	61302757	61302757	30648227	28275532
Pilot2_41	41142606	34097055	34097055	17046836	15803381
Pilot2_57	78600180	75843157	75843157	37916584	35108284
Pilot2_75	42600368	41281310	41281310	20638341	18984097
Pilot2_8	77871702	66146806	66146806	33073133	30930834
Pilot_199	73961693	62150231	62150231	31074705	29131152
Pilot_255	101544257	95072723	95072723	47533717	44529478
Pilot_252	92801729	90118372	90118372	45057462	42261526
Pilot2_9	157353787	130314392	130314392	65153598	60872039
Pilot_295	93801587	76644823	76644823	38321396	35906278
Pilot_244	104583692	101499347	101499347	50746742	47538201
Pilot_197	15811269	15164884	15164884	7582175	7131439
Pilot_285	48969113	47634000	47634000	23814493	21972426
Pilot2_24	61383983	59562730	59562730	29778036	27318454
Pilot2_11	91064627	76763638	76763638	38379692	35816325
Pilot_272	74425337	70231414	70231414	35114099	32584569
Pilot_258	107663057	103365999	103365999	51680087	48255092
Pilot2_88	116131244	102461769	102461769	51227840	47345755
Pilot2_54	124665012	101775979	101775979	50881834	47304652
Pilot2_67	55395080	53787492	53787492	26886184	24789239
Pilot_251	82093665	79576171	79576171	39785885	37233645
Pilot2_20	104238872	97422140	97422140	48707611	44665337
Pilot_227	65727	33874	33874	16936	15798
Pilot2_21	148738114	138991599	138991599	69490501	64053345
Pilot_280	86757134	83037360	83037360	41515274	38518580
Pilot_237	148227142	129927159	129927159	64961148	60940085
Pilot_215	111636055	92926123	92926123	46461011	43355943
Pilot_261	27449776	26476385	26476385	13237685	12416198
Pilot2_13	44561184	38805347	38805347	19401376	18132310
Pilot_201	92209243	76301748	76301748	38148991	35695171
Pilot2_47	24038739	13450931	13450931	6725722	4408754
Pilot_229	13837411	12631981	12631981	6315775	5891303
Pilot2_25	42902853	37319555	37319555	18657478	17277462
Pilot_267	50248279	48805990	48805990	24401653	22813612
Pilot_277	76805824	74034274	74034274	37013398	34294560
Pilot2_66	103908621	100923457	100923457	50452644	46477079
Pilot_228	79010646	76721885	76721885	38358011	35802511
Pilot_239	108727205	88569021	88569021	44282020	41496812
Pilot2_19	38211353	35058916	35058916	17527575	16234193
Pilot2_29	32838742	31900868	31900868	15947859	14757566
Pilot2_61	80082636	67318981	67318981	33657803	31053300
Pilot_245	80807578	72155626	72155626	36076132	33626405
Pilot_292	95731934	93235675	93235675	46614641	43754890
Pilot_219	61257160	59635536	59635536	29815726	27826902
Pilot2_60	43447882	39540527	39540527	19767877	18145410
Pilot_282	24420547	21288603	21288603	10643915	9856640
Pilot2_64	30931702	30089953	30089953	15041869	13907332
Pilot_254	64626135	55930009	55930009	27964275	26236820
Pilot_222	58336882	52570306	52570306	26283589	24522365
Pilot2_5	100299605	85254809	85254809	42624817	39936997
Pilot2_31	98772305	88267639	88267639	44129792	41246151
Pilot2_39	128762986	109507707	109507707	54752522	50941942
Pilot_203	66629652	55741430	55741430	27869855	26034592
Pilot_231	46600586	45556985	45556985	22775512	21060653
Pilot_223	77988984	72556617	72556617	36276611	33913523
Pilot2_89	53766030	46613476	46613476	23305829	21856961
Pilot2_78	46585371	38329640	38329640	19163398	17816662
Pilot_291	46876012	45433678	45433678	22715192	20962656
Pilot2_53	54070396	52145058	52145058	26068444	23955285
Pilot2_3	91535036	78762189	78762189	39379586	36809829
Pilot2_40	62941039	52289367	52289367	26142802	24329673
Pilot_247	56008935	54103487	54103487	27049464	25157803
Pilot_218	202624112	166003140	166003140	82997927	77481896
Pilot_235	113764884	94783479	94783479	47389268	44334563
Pilot2_81	76571314	72919201	72919201	36455777	33433247
Pilot_275	56522327	55009877	55009877	27501175	25393146
Pilot_259	69237735	63060731	63060731	31528514	29384773
Pilot2_65	33140408	31900486	31900486	15944567	14570684
Pilot_298	65639949	57622587	57622587	28809942	26911242
Pilot_236	62893143	54907265	54907265	27453227	25666594
Pilot2_44	84329856	76302803	76302803	38149730	35407196
Pilot_207	164846902	133749552	133749552	66870811	62588292
Pilot2_18	92539894	77291921	77291921	38644168	35935279
Pilot_290	22716149	22076632	22076632	11037237	10116006
Pilot2_36	32192522	31250218	31250218	15620633	14396514
Pilot2_48	98919979	83159993	83159993	41577687	38617993
Pilot_214	21302778	17353857	17353857	8676788	8091622
Pilot2_76	39899678	38622104	38622104	19309018	17821880
Pilot_281	36640656	35556904	35556904	17777508	16572086
Pilot_212	50769962	40826121	40826121	20411910	19123968
Pilot_206	85743398	77834816	77834816	38915814	36484087
Pilot_253	88320918	70914701	70914701	35455757	33195124
Pilot_273	71523783	58191117	58191117	29094774	27017683
Pilot_204	80291283	65504337	65504337	32750629	30516479
Pilot_238	112697570	94890798	94890798	47443936	44441577
Pilot_293	47428037	43704556	43704556	21851067	20500616
Pilot_209	51552831	49577965	49577965	24787468	23040264
Pilot2_6	121082249	102147238	102147238	51072703	47777311
Pilot2_55	114037354	107815519	107815519	53904684	49622891
